Local time,Open,High,Low,Close,Volume
01.06.2018 23:00:00.000 GMT+0200,7373,7373,7373,7373,0
02.06.2018 02:00:00.000 GMT+0200,7373,7373,7373,7373,0
02.06.2018 05:00:00.000 GMT+0200,7373,7373,7373,7373,0
02.06.2018 08:00:00.000 GMT+0200,7373,7373,7373,7373,0
02.06.2018 11:00:00.000 GMT+0200,7373,7373,7373,7373,0
02.06.2018 14:00:00.000 GMT+0200,7373,7373,7373,7373,0
02.06.2018 17:00:00.000 GMT+0200,7373,7373,7373,7373,0
02.06.2018 20:00:00.000 GMT+0200,7373,7373,7373,7373,0
02.06.2018 23:00:00.000 GMT+0200,7373,7373,7373,7373,0
03.06.2018 02:00:00.000 GMT+0200,7373,7373,7373,7373,0
03.06.2018 05:00:00.000 GMT+0200,7373,7373,7373,7373,0
03.06.2018 08:00:00.000 GMT+0200,7373,7373,7373,7373,0
03.06.2018 11:00:00.000 GMT+0200,7373,7373,7373,7373,0
03.06.2018 14:00:00.000 GMT+0200,7373,7373,7373,7373,0
03.06.2018 17:00:00.000 GMT+0200,7373,7373,7373,7373,0
03.06.2018 20:00:00.000 GMT+0200,7373,7373,7373,7373,0
03.06.2018 23:00:00.000 GMT+0200,7626,7648,7626,7644,61572.500199999995
04.06.2018 02:00:00.000 GMT+0200,7644,7690,7605,7620,129932.4988
04.06.2018 05:00:00.000 GMT+0200,7620,7635,7542,7595,91572.5021
04.06.2018 08:00:00.000 GMT+0200,7595,7595,7510,7534,155207.5043
04.06.2018 11:00:00.000 GMT+0200,7534,7554,7423,7444,130565.0005
04.06.2018 14:00:00.000 GMT+0200,7444,7469,7396,7418,138809.9976
04.06.2018 17:00:00.000 GMT+0200,7419,7446,7390,7414,125692.5011
04.06.2018 20:00:00.000 GMT+0200,7415,7463,7402,7462,94034.9998
04.06.2018 23:00:00.000 GMT+0200,7462,7475,7401,7430,104247.4976
05.06.2018 02:00:00.000 GMT+0200,7430,7443,7325,7341,149604.99949999998
